plan_name,bucket,specification
medicare non par node medicare non par,Government,Medicare
MEDICARE PART A [40000102],Government,Medicare
MEDICARE PART A AND B [40000101],Government,Medicare
MEDICARE PART A SECONDARY ALTERNATE [88802],Government,Medicare
MEDICARE PART B [40000103],Government,Medicare
MEDICARE PART B ALTERNATE [88801],Government,Medicare
Medicare PPO,Government,Medicare
medicare ppo,Government,Medicare
medicare ppo humana medicare ppo,Government,Medicare
MEDICARE RAILROAD PART A [40000105],Government,Medicare
MEDICARE RAILROAD PART A AND B [40000104],Government,Medicare
MEDICARE RAILROAD PART B [40000106],Government,Medicare
MEDICARE REPLACEMENT [25051601],Government,Medicare
MEDICARE REPLACEMENT [25052501],Government,Medicare
medicare simply medicare,Government,Medicare
medicare sunshine medicare,Government,Medicare
Medicare Traditional NODE Medicare Traditional,Government,Medicare
medicare traditional node medicare traditional,Government,Medicare
medicare united medicare,Government,Medicare
medicare wellcare medicare,Government,Medicare
medicare/advantra aetna medicare/advantra,Government,Medicare
medicare_,Government,Medicare
medicare_behavioral_health,Government,Medicare
medicare_hmo,Government,Medicare
medicare_hmo_,Government,Medicare
medicare_transplant,Government,Medicare
Medicare-Medicaid Dual Eligibility,Government,Medicare
MEDIPLUS [10026501],Commercial,Mediplus
MEDI-SHARE [10030301],Commercial,Medi-share
medriskmtiwc,Government,Worker's Comp
MERITAIN [10006301],Commercial,Meritain
metracompwc,Government,Worker's Comp
mgmcd,Government,Medicaid
MGMCR,Government,Medicare
mgmcr,Government,Medicare
MGMCRHMO,Government,Medicare
mgmcrhmo,Government,Medicare
MGMCRPPO,Government,Medicare
mgmcrppo,Government,Medicare
mgmcrtier1,Government,Medicare
mgmcrtier2,Government,Medicare
mgmcrtier3,Government,Medicare
MISC. GOVERNMENT,Government,Other Government
MISCELLANEOUS AUTO/TPL [75999901],Unknown,Unknown
MISCELLANEOUS BEHAVIORAL HEALTH [10031401],Commercial,Other Commercial
MISCELLANEOUS COMMERCIAL [10999901],Commercial,Other Commercial
MISCELLANEOUS CORRECTIONAL FACILITY [50999801],Government,Other Government
MISCELLANEOUS HOSPICE [51000001],Commercial,Other Commercial
MISCELLANEOUS MEDICAID REPLACEMENT [35999901],Government,Medicaid
MISCELLANEOUS MEDICARE REPLACEMENT [45999901],Government,Medicare
MISCELLANEOUS OTHER [50999901],Unknown,Unknown
MISCELLANEOUS SNF [51000101],Commercial,Other Commercial
MISCELLANEOUS WORKERS' COMP [70999901],Government,Worker's Comp
MMP/Medicare,Government,Medicare
MODA MEDICARE SUPPLEMENT [10037601],Government,Medicare
Modified Indemnity,Unknown,Unknown
MOLINA HEALTH MD,Commercial,Molina
molina healthcare fl kidcare,Commercial,Molina
molina healthcare of fl medicaid,Government,Medicaid
MOLINA HEALTHCARE OF FLORIDA [45011801],Commercial,Molina
MOLINA MARKETPLACE HMO [10027101],Commercial,Molina
molina medicaid fl,Government,Medicaid
MOLINA MEDICAID HMO [25030701],Commercial,Molina
MULTIPLAN,Commercial,Multiplan
MultiPlan,Commercial,Multiplan
Multiplan,Commercial,Multiplan
multiplan,Unknown,Multiplan
MULTIPLAN [10025801],Commercial,Multiplan
multiplan complementary,Unknown,Multiplan
multiplan complementary network,Unknown,Multiplan
MULTIPLAN PRO AMER NTWRK [25022301],Commercial,Multiplan
multiplanwc,Government,Worker's Comp
MUTUAL OF OMAHA [10030401],Commercial,Medical Mutual
MY BLUE EX,Commercial,Blue Cross Blue Shield
My Blue OP,Commercial,Blue Cross Blue Shield
MY HEALTH PLAN  [100000932],Unknown,Unknown
my_blue,Commercial,Blue Cross Blue Shield
myblue,Commercial,Blue Cross Blue Shield
myblue hmo hix bc/bs myblue hmo hix,Commercial,Blue Cross Blue Shield
MyBlue/SimplyBlue/BlueCare,Commercial,Blue Cross Blue Shield
narrowindividualexchange,Commercial,Other Commercial
narrownetworkindivexchange,Commercial,Other Commercial
narrownetworkindividualexchange,Commercial,Other Commercial
NASSAU COUNTY HEALTH DEPARTMENT [50002101],Government,Other Government
NASSAU COUNTY SHERIFF'S OFFICE [50001601],Government,Other Government
NASSAU LIFE AND ANNUITY [10034601],Commercial,Nassau
national advantage program (nap) aetna national advantage program (nap),Commercial,Aetna
NATIONWIDE AUTO [75000701],Unknown,Unknown
NBN,Commercial,Other Commercial
nbn,Commercial,Other Commercial
negotiated_dollar,Unknown,Unknown
NEIBP [10033601],Commercial,National Elevator Industry
neighborly care localgov,Government,Other Government
NEMOURS RESEARCH [50002901],Commercial,Nemours
network association prison,Government,Other Government
Network Blue,Commercial,Blue Cross Blue Shield
NETWORK BLUE,Commercial,Blue Cross Blue Shield
network llc jipanetwork,Commercial,Other Commercial
network_blue,Commercial,Blue Cross Blue Shield
NetworkBlue,Commercial,Blue Cross Blue Shield
new century mcr,Government,Medicare
NEW ERA LIFE INSURANCE [10035001],Commercial,New Era
newbusinesshmo,Commercial,Other Commercial
next comm,Commercial,Other Commercial
next ppo,Commercial,Other Commercial
nexus_hmo,Commercial,Nexus
NFL DEDICATED HOSPITAL NETWORK PROGRAM [10000927],Commercial,Other Commercial
nhp,Commercial,United Health Care
NHP HMO,Commercial,United Health Care
nhp uhc nhp,Commercial,United Health Care
NINETY DEGREE BENEFITS [10000935],Commercial,90 Degree
NODE Aetna MCR ADV,Government,Medicare
node aetna mcr adv,Government,Medicare
NODE BCBS FL MCR ADV,Government,Medicare
node bcbs fl mcr adv,Government,Medicare
NODE Humana MCR ADV,Government,Medicare
node humana mcr adv,Government,Medicare
node humana mcr hmo pffs,Government,Medicare
node humana mcr ppo,Government,Medicare
NODE UHC MCR ADV,Government,Medicare
node wellcare mcr adv,Government,Medicare
non-contracted commercial non-contracted,Commercial,Other Commercial
nongatedcomm,Commercial,Other Commercial
Non-Gatekeeper,Unknown,Unknown
non-gatekeeper aetna non-gatekeeper,Commercial,Aetna
Non-Options PPO,Unknown,Unknown
NORTHEAST FLORIDA STATE HOSPITAL [50001801],Government,Other Government
NORTHWELL DIRECT [10031702],Commercial,Northwell
nppnplancareamericawc,Government,Worker's Comp
NWB,Commercial,Other Commercial
nwb,Commercial,Other Commercial
oap,Commercial,Other Commercial
OccuNet,Commercial,OccuNet
Occunet,Commercial,OccuNet
occunet,Commercial,OccuNet
OCCUNET STUDENT ATHLETES [50001501],Commercial,OccuNet
OccuNet Work Comp FL,Government,Worker's Comp
Occunet Work Comp FL,Government,Worker's Comp
occunet work comp fl,Government,Other Government
occunetwc,Government,Worker's Comp
of central florida mcd,Government,Medicaid
of central florida mcr,Government,Medicare
of fl (health advantage plan) mcr,Government,Medicare
of fl blue select exchange non par bc/bs of fl blue select exchange non par,Commercial,Blue Cross Blue Shield
of fl health options hmo bc/bs of fl health options hmo,Commercial,Blue Cross Blue Shield
of fl health options medicare bc/bs of fl health options medicare,Government,Medicare
of fl medicare ppo bc/bs of fl medicare ppo,Government,Medicare
of fl miami dade blue select bc/bs of fl miami dade blue select,Commercial,Blue Cross Blue Shield
of fl network blue bc/bs of fl network blue,Commercial,Blue Cross Blue Shield
of fl phs bc/bs of fl phs,Commercial,Blue Cross Blue Shield
of fl ppo bc/bs of fl ppo,Commercial,Blue Cross Blue Shield
of fl simplyblue bc/bs of fl simplyblue,Commercial,Blue Cross Blue Shield
of florida aetna better health fl healthy kids,Commercial,Aetna
of florida aetna better health of florida,Commercial,Aetna
of florida bcbs - blue select,Commercial,Blue Cross Blue Shield
of florida bcbs - healthy options,Commercial,Blue Cross Blue Shield
of florida bcbs - healthy options medicare adv,Government,Medicare
of florida bcbs - network blue,Commercial,Blue Cross Blue Shield
of florida bcbs - phs,Commercial,Blue Cross Blue Shield
of florida bcbs - ppo,Commercial,Blue Cross Blue Shield
of florida bcbs fl bsl,Commercial,Blue Cross Blue Shield
of florida bcbs fl chs employee,Commercial,Blue Cross Blue Shield
of florida bcbs fl hmo,Commercial,Blue Cross Blue Shield
of florida bcbs fl mbn,Commercial,Blue Cross Blue Shield
of florida bcbs fl nwb,Commercial,Blue Cross Blue Shield
of florida bcbs fl phs,Commercial,Blue Cross Blue Shield
of florida bcbs fl ppo,Commercial,Blue Cross Blue Shield
of florida bcbs medicare ppo,Government,Medicare
of florida bcbs network blue,Commercial,Blue Cross Blue Shield
of florida bcbs ppo,Commercial,Blue Cross Blue Shield
of florida bcbs rehab ppo,Commercial,Blue Cross Blue Shield
of florida bcbs traditional,Commercial,Blue Cross Blue Shield
of florida bcbs workers compensation,Government,Other Government
of florida exchange united healthcare of florida exchange,Commercial,United Health Care
of florida hmo united healthcare of florida hmo,Commercial,United Health Care
of florida medicare advantage mmm of florida medicare advantage,Government,Medicare
of florida medicare advantage united healthcare of florida medicare advantage,Government,Medicare
of florida mgmgr,Government,Other Government
of florida mmm of fl medicare hmo,Government,Medicare
of florida node bcbs fl mcr adv,Government,Medicare
of florida ppo united healthcare of florida ppo,Commercial,United Health Care
of jacksonville wc,Government,Worker's Comp
of miami behavioral health university of miami behavioral health,Commercial,Other Commercial
of north central fl federal,Commercial,Other Commercial
of north central fl mcd,Government,Medicaid
of north central fl mcr,Government,Medicare
of nw fl hospice of nw fl,Commercial,Other Commercial
of nw florida comm,Commercial,Other Commercial
of omaha mutualofomaha,Commercial,Mutual of Omaha
of palm beach townofpalmbeach,Commercial,Other Commercial
of sheiff highland co gvt,Government,Other Government
of south fl opuscare of south fl,Commercial,Other Commercial
of texas (claims only) molinacompletecaremgdmcaid,Government,Medicaid
of texas (claims only) molinahix,Commercial,Molina
of texas (claims only) molinamgdmcaid,Government,Medicaid
of texas (claims only) molinamgdmcare,Government,Medicare
of texas (claims only) molinamgdmcarenarrownetwork,Government,Medicare
of treasure coast comm,Commercial,Treasure Coast
OFFICE OF THE ATTORNEY GENERAL [50002201],Government,Other Government
OP,Commercial,Other Commercial
OPTIMED HEALTH [10038201],Commercial,Optimed
optimum mcr,Government,Medicare
Optimum NODE Freedom Optimum MCR ADV,Government,Medicare
options inc bcbs health options hmo,Commercial,Blue Cross Blue Shield
options inc bcbs health options medicare,Government,Medicare
Options PPO,Commercial,Humana
options tricare,Government,Tricare
options value options behavioral health,Commercial,Humana
OptionsPPO,Commercial,Humana
optionsppo,Commercial,Humana
Optum Transplant,Commercial,Optum
OPTUM/UBH EAP (BBH ONLY) [10700102],Commercial,Optum
optum/va,Government,VA
oscar,Commercial,Oscar
OSCAR HEALTH EXCHANGE,Commercial,Oscar
OSCAR INSURANCE COMPANY [10027301],Commercial,Oscar
oscarhealthplanhix,Commercial,Oscar
other facility self-pay other facility,Self Pay,Self Pay
other hospice other,Unknown,Unknown
other medicaid other,Government,Medicaid
other medicare other,Government,Medicare
pace centers florida pace centers,Commercial,Pace
pace centers floridapacecentersmgdmcare,Government,Medicare
pace centers pace,Commercial,Pace
paf commercial-historical paf,Commercial,Other Commercial
palm beaches comm,Commercial,Other Commercial
PAN AMERICAN LIFE [10036801],Commercial,Pan
PARAMOUNT ADVANTAGE [10032201],Commercial,Paramount
Pathwell,Commercial,Pathwell
pay - mcd pending 100 percent self pay - mcd pending 100 percent,Self Pay,Self Pay
pay elective self pay elective,Self Pay,Self Pay
pay emergent self pay emergent,Self Pay,Self Pay
Pay Self Pay,Self Pay,Self Pay
pay self pay,Self Pay,Self Pay
pay/uninsured self pay/uninsured,Self Pay,Self Pay
pcip geha pcip,Commercial,Other Commercial
PEACH STATE HEALTH PLAN [45012001],Commercial,Peach State
PEAK TPA [50003001],Commercial,Peak
PEHP HEALTH AND BENEFITS [10039101],Commercial,Other Commercial
Personal Injury,Unknown,Unknown
PFFS MEDICARE REPLACEMENT [25050801],Government,Medicare
pffs_medicare,Government,Medicare
pffs_medicare_,Government,Medicare
pffs_ppo_medicare_,Government,Medicare
PHCS,Commercial,PHCS
phcs,Commercial,PHCS
PHILADELPHIA AMERICAN LIFE INSURANCE [10031801],Commercial,New Era Life Group
PHS,Commercial,PHS
phs,Commercial,GEO Group
phs prison,Commercial,GEO Group
PHYSICIANS MUTUAL [10033501],Commercial,Medical Mutual
PIP AUTO [75001501],Unknown,Unknown
plan hix oscar health plan hix,Commercial,Oscar
plus med tourplusmedassistanceppo,Commercial,Other Commercial
Plus Medicare HMO,Government,Medicare
plus medicare hmo,Government,Medicare
PPC,Commercial,Other Commercial
ppc,Commercial,Other Commercial
PPC PPO,Commercial,Other Commercial
PPO,Commercial,Other Commercial
ppo,Commercial,Other Commercial
PPO IP,Commercial,Other Commercial
PPO OP,Commercial,Other Commercial
ppo optionsppo,Commercial,Other Commercial
PPO Products,Commercial,Other Commercial
ppo.1,Commercial,Other Commercial
ppo/pffs_medicare,Government,Medicare
PPO/PHS,Commercial,Other Commercial
ppo_,Commercial,Other Commercial
ppo_epo,Commercial,Other Commercial
ppo_medicare,Government,Medicare
ppo_medicare_,Government,Medicare
ppo_nr,Commercial,Other Commercial
pponwb,Commercial,Other Commercial
preferred partners haapreferredpartners,Commercial,Other Commercial
PRESTIGE HEALTH CHOICE [45012301],Commercial,Prestige
PRESTIGE MD HMO NC,Commercial,Prestige
Primary,Unknown,Unknown
primary,Commercial,Other Commercial
primarynetwork,Commercial,Other Commercial
primaryppo,Commercial,Other Commercial
Prime,Commercial,Prime
PRINCIPAL LIFE [10035101],Commercial,Principal Life
PRIORITY HEALTH [10000929],Commercial,Priority Health
prisn,Government,Other Government
prison,Government,Other Government
prison centurion prison,Government,Other Government
Private,Commercial,Other Commercial
PRIVATE HEALTHCARE SYSTEMS [10027401],Commercial,Multiplan
PRO MEDICA HOSPICE [50003201],Commercial,Promedica
PROGRESSIVE AUTO [75000401],Unknown,Unknown
PROMEDICA HOSPICE [50003201],Commercial,Promedica
PROMINENCE,Commercial,Prominence
PROSPERITY LIFE [10037201],Commercial,Prosperity
psych_hmo,Commercial,Other Commercial
psychcare,Commercial,Other Commercial
psychiatric_medicaid,Government,Medicaid
psychiatric_medicare,Government,Medicare
purchased care program logov,Commercial,Other Commercial
QHP,Commercial,QHP
qhp,Commercial,QHP
qhp_exchange,Commercial,QHP
qhp_exchange_,Commercial,QHP
quality care mcd,Government,Medicaid
radiology adinradiology,Commercial,Other Commercial
REGIONAL CARE INC [10037301],Commercial,TPA
RESEARCH MEDICARE PART A AND B [40000301],Government,Medicare
rivers provider network workerscomp,Government,Worker's Comp
Rockport Work Comp FL,Government,Worker's Comp
S&S HEALTH [10036101],Commercial,S&S
SAMBA [10000931],Commercial,Samba
sarasota comm,Commercial,Other Commercial
SBN,Commercial,SBN
sbn,Commercial,Other Commercial
SBN/MBN,Commercial,SBN
SEAFARERS HEALTH AND BENEFITS [10035201],Commercial,Seafarers
SEAFARERS HEALTH AND BENEFITS [1003520101],Commercial,Seafarers
seals ifsp eastersealsifsp,Commercial,Other Commercial
Select,Commercial,Other Commercial
select,Commercial,Other Commercial
Select HMO/Options PPO/Cruise Lines,Commercial,Humana
Select Network,Commercial,Other Commercial
select network avmed select network,Commercial,Avmed
SELECTHEALTH [45014501],Commercial,Intermountain Health
selectppo,Commercial,Other Commercial
self_funded,Self Pay,Self Pay
self_funded_hmo,Self Pay,Self Pay
SELF-FUNDED HEALTH PLAN,Self Pay,Self Pay
selfpay,Self Pay,Self Pay
SELMAN AND COMPANY [10032301],Commercial,Selman and Company
senior care align senior care,Commercial,Other Commercial
senior care mcr,Government,Medicare
Senior Care MGMCR,Government,Medicare
senior care mgmcr,Government,Medicare
services inc axisservicesinc,Commercial,Other Commercial
services network behavioral services network,Commercial,Other Commercial
services wc protegrityserviceswc,Government,Worker's Comp
sfl mgmcr,Government,Medicare
sheriff's office mcr,Government,Medicare
Signature,Commercial,Other Commercial
signature administrators (asa) aetna signature administrators (asa),Commercial,Aetna
SILAC [10036501],Commercial,Silac
simply healthcare fl healthy kids,Commercial,Simply
SIMPLY HEALTHCARE HEALTHY KIDS [10026201],Commercial,Simply
SIMPLY HEALTHCARE MEDICAID [45011701],Government,Medicaid
SIMPLY HEALTHCARE PLAN MCD,Government,Medicaid
simply healthcare plans,Commercial,Simply
simply mcr adv node simply mcr adv,Government,Medicare
SIMPLY MEDICAID [25030902],Government,Medicaid
SIMPLYHLTH MD HMO NC,Government,Medicaid
sinai eldercare pace mount sinai eldercare pace,Government,Other Government
SISCO [10000933],Commercial,Sisco
SOLIS HEALTH PLANS [45014601],Commercial,Solis
southcare,Commercial,Southcare
specialty hospital select specialty hospital,Commercial,Other Commercial
spreemomti,Commercial,Other Commercial
Spring Health MCR,Government,Medicare
spring health mcr,Government,Medicare
ST JOHNS COUNTY SHERIFF'S OFFICE [50002701],Government,Other Government
State Auto Insurance State Auto Insurance FL,Unknown,Unknown
state auto insurance state auto insurance fl,Unknown,Unknown
STATE FARM AUTO [75000301],Unknown,Unknown
STATE FARM HEALTH INSURANCE [10038301],Commercial,State Farm
State Health Plan Medicaid FL Sunshine State Health Plan Medicaid FL,Government,Medicaid
state health plan medicaid sunshine state health plan medicaid,Government,Medicaid
state health plan medicare sunshine state health plan medicare,Government,Medicare
State Health Plan QHP,Commercial,State Health
state health plan qhp,Government,Other Government
state mcd,Government,Medicaid
State MCR,Government,Medicare
state mcr,Government,Medicare
state mgmcd,Government,Medicaid
state_of_florida,Government,Other Government
street beech street,Commercial,Beech Street
summit heritagesummithealthcareoffloridappo,Commercial,Summit
sun health plan mgmcr,Government,Medicare
sun health plans health sun health plans,Commercial,Sun Health
SUNSHIN HLTH AMBT NC,Commercial,Sunshine
SUNSHINE MEDICAID HMO [25031101],Government,Medicaid
SUNSHINE ST MD HMONC,Government,Medicaid
SUNSHINE STATE HEALTH PLAN [45011101],Commercial,Sunshine
Sunshine State Health Plan Commercial Exchange NODE Sunshine State Health Plan Commercial Exchange,Commercial,Sunshine
sunshinemgdmcaid,Government,Medicaid
surefit,Commercial,Surefit
surefit cigna surefit,Commercial,Cigna
SUREST [10006027],Commercial,Surest
TEAMSTERS CENTRAL PA HEALTH AND WELFARE [10038601],Commercial,Teamsters
techhealthoptherapywc,Government,Worker's Comp
THE EMPIRE PLAN [10029101],Commercial,The Empire Plan
THE EPIC LIFE INSURANCE COMPANY [10034003],Commercial,The Epic Life Insurance Company
THE HEALTH PLAN [10030501],Commercial,The Health Plan
THE LOOMIS COMPANY [10032801],Commercial,Loomis
THE LOOMIS COMPANY RBB [10032802],Commercial,Loomis
Therapies Transplant,Commercial,Therapies
therapy solutions comm,Commercial,Therapies
therapy solutions mgmcr,Government,Medicare
THRIVENT [10032601],Commercial,Thrivent
TieredNetwork,Commercial,Other Commercial
tierednetwork,Commercial,Other Commercial
Traditional,Commercial,Other Commercial
traditional,Commercial,Other Commercial
Traditional OP,Commercial,Other Commercial
traditional tricare traditional,Government,Worker's Comp
traditionalppo,Commercial,Other Commercial
TRANSAMERICA LIFE INSURANCE COMPANY [10030601],Commercial,Transamerica
TRANSPLANT,Commercial,Other Commercial
Transplant,Commercial,Other Commercial
transplant,Unknown,Unknown
Transplant - Outpatient,Commercial,Other Commercial
transplants mcr,Government,Medicare
treasure coast mgmcd,Government,Medicaid
treasure coast mgmcr,Government,Medicare
tribe of florida seminoletribeofflorida,Government,Other Government
TRICARE,Government,Tricare
Tricare,Government,Tricare
tricare,Government,Tricare
TRICARE ANCILLARY ONLY [60000107],Government,Tricare
TRICARE FOR LIFE [60000103],Government,Tricare
Tricare NODE Tricare,Government,Tricare
tricare node tricare,Government,Tricare
TRICARE PRIME HMO [60000108],Government,Tricare
TRICARE RESERVE SELECT [60000105],Government,Tricare
TRICARE SELECT [60000104],Government,Tricare
tricr,Government,Tricare
triwest,Government,Tricare
TRUSTMARK HEALTH BENEFITS [10032701],Commercial,Trustmark
TUFTS HEALTH PLAN [10032401],Commercial,Tufts
UF HEALTH DIRECT CARE HMO [10026701],Commercial,UF Health
UF HEALTH PROTON THERAPY INSTITUTE [50001701],Commercial,UF Health
UHC ALL SAVERS [10006008],Commercial,United Health Care
UHC APA,Commercial,United Health Care
uhc apa,Commercial,United Health Care
UHC BEHAVIORAL HEALTH [10028901],Commercial,United Health Care
UHC BEHAVIORAL HEALTH MEDICAID [45013801],Government,Medicaid
UHC BEHAVIORAL HEALTH MEDICARE [45013602],Government,Medicare
UHC CHOICE PLUS-CORE [10006039],Commercial,United Health Care
UHC COMPASS [10006031],Commercial,United Health Care
UHC COVER FLORIDA [10006032],Commercial,United Health Care
UHC DUAL COMPLETE MEDICAID [45011203],Government,Medicaid
UHC DUAL COMPLETE MEDICARE HMO [45002101],Government,Medicare
UHC DUAL COMPLETE MEDICARE PPO [45002106],Government,Medicare
UHC EMPIRE [10028401],Commercial,United Health Care
UHC GOLDEN RULE [10006007],Commercial,United Health Care
UHC HEALTH OPTIONS PPO [10006028],Commercial,United Health Care
uhc kids medicaid fl,Government,Medicaid
UHC MEDICAID [45011201],Government,Medicaid
UHC Medicaid FL,Government,Medicaid
uhc medicaid fl,Government,Medicaid
UHC MEDICARE HMO [45002115],Government,Medicare
UHC MEDICARE PPO [45002114],Government,Medicare
UHC MEDICARE REPLACEMENT [25051501],Government,Medicare
UHC NHP,Commercial,United Health Care
uhc nhp,Commercial,United Health Care
UHC OA CHOICE [10006026],Commercial,United Health Care
UHC OXFORD HEALTH PLAN [10006034],Commercial,United Health Care
UHC SELECT HMO [10006029],Commercial,United Health Care
UHC SELECT PLUS [10006030],Commercial,United Health Care
UHC STUDENT RESOURCES [10006035],Commercial,United Health Care
UHC UMR [10006033],Commercial,United Health Care
UHC UMR PPO [10006036],Commercial,United Health Care
UHC WELLMED MEDICARE [45002116],Government,Medicare
UHP ADMINISTRATORS [10035301],Commercial,United Health Care
UMR BAPTIST EMPLOYEES [10006038],Commercial,United Health Care
UMR COMPASS ROSE [10006037],Commercial,United Health Care
UNICARE [10030701],Commercial,Unicare
UNIFIED LIFE INSURANCE COMPANY [10033701],Commercial,Unified Life Insurance
UNITED AMERICAN INSURANCE [10030801],Commercial,United
united behavioral,Commercial,United Health Care
united behavioral medicaid,Government,Medicaid
united behavioral medicare,Government,Medicare
united behavioral va ccn node united behavioral va ccn,Commercial,United Health Care
UNITED HEALTH CARE MCD,Government,Medicaid
UNITED HEALTH CARE MEDICARE,Government,Medicare
UNITED HEALTHCARE,Commercial,United Health Care
united healthcare,Commercial,United Health Care
UNITED HEALTHCARE ALL PAYER,Commercial,United Health Care
united healthcare commercial group 1,Commercial,United Health Care
united healthcare commercial group 2,Commercial,United Health Care
UNITED HEALTHCARE EXCHANGE [10006040],Commercial,United Health Care
united healthcare florida healthy kids,Commercial,United Health Care
united healthcare medicaid,Government,Medicaid
united healthcare medicare adv,Government,Medicare
united healthcare nhp,Commercial,United Health Care
UNITED HEALTHY KIDS,Commercial,United Health Care
UNITED HLTH MC HMO,Government,Medicare
UNITED HMO,Commercial,United Health Care
UNITED HMO/PPO [21040201],Commercial,United Health Care
UNITED MD HMO,Government,Medicaid
united medicare hmo,Government,Medicare
UNITED MINE WORKERS [10033901],Commercial,United Health Care
UNITED MINE WORKERS [45003301],Commercial,United Health Care
united options ppo,Commercial,United Health Care
united optum va ccn,Commercial,United Health Care
United Optum VA CCN NODE United Optum VA CCN,Government,VA
united optum va ccn node united optum va ccn,Commercial,United Health Care
UNITED PPO,Commercial,United Health Care
UNITED WORLD LIFE INSURANCE COMPANY [10033801],Commercial,United Health Care
unitedbehavioral,Commercial,United Health Care
unitedcommunityplanhealthykids,Commercial,United Health Care
unitedcommunityplanmgdmcaid,Government,Medicaid
unitedexchange,Commercial,United Health Care
unitedmgdmcare,Commercial,United Health Care
unitednonoptions,Commercial,United Health Care
unitedoptions,Commercial,United Health Care
UPMC MEDICARE HMO [45013101],Government,Medicare
UPMC MEDICARE PPO [45013102],Government,Medicare
US Dept of Labor NODE US Dept of Labor,Government,Other Government
us dept of labor node us dept of labor,Government,Other Government
US HEALTH GROUP [10030901],Commercial,US Health Groupd
USAA AUTO [75000601],Unknown,Unknown
USAA LIFE [10031001],Commercial,USAA
VA CCN ALTERNATE PLAN [10029001],Government,VA
va ccn fed,Government,VA
va choice healthnet va choice,Government,VA
VA COMMUNITY CARE NETWORK [10006814],Government,VA
VA NODE VA,Government,VA
va node va,Government,VA
VACCN,Government,VA
vaccn,Government,VA
valueoptions,Unknown,Unknown
VETERANS ADMINISTRATION(BILLING ONLY) [10006815],Government,VA
VITAS HEALTHCARE OF FLORIDA [50003101],Commercial,Vitas
VIVIDA HEALTH MEDICAID [35000701],Government,Medicaid
VOLUSIA HEALTH NETWORK [10026301],Commercial,Volusia
WARD AND GLOCK ENDOWMENT [50001907],Commercial,Ward and Glock
WC AIG [70006902],Government,Worker's Comp
WC ALL ELITE WRESTLING [70007501],Government,Worker's Comp
WC AMERISYS [70007001],Government,Worker's Comp
WC BAPTIST OCCUPATIONAL HEALTH [70006101],Government,Worker's Comp
WC BERKLEY SPECIALTY- JAGUARS [70006001],Government,Worker's Comp
WC BLUE CROSS [70006301],Government,Worker's Comp
WC CITY OF JACKSONVILLE [70006501],Government,Worker's Comp
WC CORVEL [70006701],Government,Worker's Comp
WC COVENTRY HEALTH CARE [70006801],Government,Worker's Comp
WC GALLAGHER & BASSET [70007101],Government,Worker's Comp
WC JACKSONVILLE JUMBO SHRIMP [70005401],Government,Worker's Comp
WC JACKSONVILLE SHARKS [70007401],Government,Worker's Comp
WC MULTIPLAN [70006601],Government,Worker's Comp
WC NE FL ST HOSP/FL DPT INSUR [70006201],Government,Worker's Comp
WC OCCUPATIONAL HLTH PHYS THER [70005601],Government,Worker's Comp
WC PRIME COMP [70006401],Government,Worker's Comp
WC SEDGWICK/PATIENT ACCOUNTING [70005501],Government,Worker's Comp
WC THE HARTFORD [70007601],Government,Worker's Comp
WC US DEPARTMENT OF LABOR [70002301],Government,Worker's Comp
WCH M&R HILL ENDOWMENT [50001904],Commercial,Other Commercial
WE CARE [50002001],Commercial,We Care
WEAVER LEGACY ENDOWMENT [50001902],Commercial,Weaver Legacy
WEB TPA [10031101],Commercial,Web TPS
wellcare,Unknown,Unknown
WELLCARE DUAL MEDICARE [45012902],Government,Medicare
wellcare kids medicaid fl,Government,Medicaid
Wellcare MCR ADV NODE Wellcare MCR ADV,Government,Medicare
wellcare mcr adv node wellcare mcr adv,Government,Medicare
Wellcare Medicaid FL,Government,Medicaid
wellcare medicaid fl,Government,Medicaid
wellcare medicare adv,Government,Medicare
WELLCARE MEDICARE ADVANTAGE PLAN,Government,Medicare
WELLCARE MEDICARE HMO [45012901],Government,Medicare
WESTERN & SOUTHERN LIFE [10038501],Commercial,Western & Souther Financial
whole_health,Commercial,Other Commercial
Work Comp FL Work Comp,Government,Worker's Comp
work comp fl work comp,Government,Worker's Comp
work comp rockport work comp,Government,Worker's Comp
Workers Comp,Government,Worker's Comp
workers comp aetna workers comp,Government,Worker's Comp
workers comp careworks workers comp,Government,Worker's Comp
workers comp fl work comp,Government,Worker's Comp
Workers Compensation FL Work Comp,Government,Worker's Comp
workers compensation fl work comp,Government,Worker's Comp
workers compensation fl workers compensation,Government,Worker's Comp
workers health plan nationalworkershealthplan,Government,Worker's Comp
WPS HEALTH INSURANCE [10034001],Commercial,WPS Health
WPS HEALTH PLAN [10034002],Commercial,WPS Health
#NAME?,Self Pay,Self Pay
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Government,Medicare
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Government,Medicare
#NAME?,Commercial,Blue Cross Blue Shield
#NAME?,Government,Worker's Comp
